airport_code,city_name,state_name
JFK,"New York, NY",New York
MSP,"Minneapolis, MN",Minnesota
RIC,"Richmond, VA",Virginia
DTW,"Detroit, MI",Michigan
JAX,"Jacksonville, FL",Florida
LGA,"New York, NY",New York
CHS,"Charleston, SC",South Carolina
ITH,"Ithaca/Cortland, NY",New York
CLE,"Cleveland, OH",Ohio
GRR,"Grand Rapids, MI",Michigan
CMH,"Columbus, OH",Ohio
ATL,"Atlanta, GA",Georgia
TLH,"Tallahassee, FL",Florida
CLT,"Charlotte, NC",North Carolina
PVD,"Providence, RI",Rhode Island
MIA,"Miami, FL",Florida
RDU,"Raleigh/Durham, NC",North Carolina
BTV,"Burlington, VT",Vermont
STL,"St. Louis, MO",Missouri
SAV,"Savannah, GA",Georgia
BDL,"Hartford, CT",Connecticut
IND,"Indianapolis, IN",Indiana
IAD,"Washington, DC",Virginia
PHL,"Philadelphia, PA",Pennsylvania
DHN,"Dothan, AL",Alabama
BGR,"Bangor, ME",Maine
EYW,"Key West, FL",Florida
TYS,"Knoxville, TN",Tennessee
GTR,"Columbus, MS",Mississippi
PNS,"Pensacola, FL",Florida
ILM,"Wilmington, NC",North Carolina
MCI,"Kansas City, MO",Missouri
FAY,"Fayetteville, NC",North Carolina
SYR,"Syracuse, NY",New York
TUL,"Tulsa, OK",Oklahoma
MLU,"Monroe, LA",Louisiana
RST,"Rochester, MN",Minnesota
MLI,"Moline, IL",Illinois
DAY,"Dayton, OH",Ohio
ROC,"Rochester, NY",New York
LEX,"Lexington, KY",Kentucky
AEX,"Alexandria, LA",Louisiana
BNA,"Nashville, TN",Tennessee
MDT,"Harrisburg, PA",Pennsylvania
MYR,"Myrtle Beach, SC",South Carolina
MQT,"Marquette, MI",Michigan
DSM,"Des Moines, IA",Iowa
OAJ,"Jacksonville/Camp Lejeune, NC",North Carolina
CHO,"Charlottesville, VA",Virginia
BHM,"Birmingham, AL",Alabama
ICT,"Wichita, KS",Kansas
SDF,"Louisville, KY",Kentucky
ATW,"Appleton, WI",Wisconsin
PWM,"Portland, ME",Maine
JAN,"Jackson/Vicksburg, MS",Mississippi
CHA,"Chattanooga, TN",Tennessee
CWA,"Mosinee, WI",Wisconsin
OMA,"Omaha, NE",Nebraska
MSN,"Madison, WI",Wisconsin
CRW,"Charleston/Dunbar, WV",West Virginia
